"","time","BTC","ETH","XMR","ETC","ZEC","DASH","LTC","DOGE","NXT","BTCVOLFROM","BTCVOLTO","ETHVOLTO","ETHVOLFROM"
"273",1969-12-31 19:00:00,3217.27,259.58,57.4,18.68,242.49,250.53,54.26,0.002252,0.1334,79.05,254696.1,43772.9,169.25
"274",1969-12-31 19:00:00,3233.03,256.59,58.61,18.77,243.96,242.9,54.98,0.002231,0.1333,29.24,94242.66,41519.51,160.16
"275",1969-12-31 19:00:00,3281.9,260.97,59.86,19.04,246.7,252.35,55.7,0.002297,0.1364,15.44,51198.96,14260,54.38
"276",1969-12-31 19:00:00,3276.51,263.08,58.75,18.83,245.61,249.05,54.73,0.002294,0.1395,22.71,74307.76,7848.85,30.04
"277",1969-12-31 19:00:00,3313.01,263.63,59.63,18.96,249.14,252.29,55.67,0.002319,0.1401,14.52,48466.31,34442.63,131.8
"278",1969-12-31 19:00:00,3308.28,263.1,59.98,18.94,248.02,254.44,55.6,0.002316,0.1386,19.18,63373.85,36581.45,140.09
"279",1969-12-31 19:00:00,3322.38,261.94,60.47,18.96,245.72,255.79,54.3,0.002326,0.1387,8.82,29090.72,24054.32,92.34
"280",1969-12-31 19:00:00,3350.77,261.91,60.72,19.02,245.41,257.14,55.8,0.002346,0.141,20.88,69386.93,49997.99,191.3
"281",1969-12-31 19:00:00,3331.28,261.97,59.6,18.88,244.28,254.98,56.76,0.002299,0.1411,5.3,17831.4,95242.7,359.51
"282",1969-12-31 19:00:00,3304.18,258.9,58.05,18.72,241.17,255.48,56.74,0.00228,0.1392,10.53,35169.42,22870.67,88.67
"283",1969-12-31 19:00:00,3370.06,259.98,59.35,19.12,247.36,261.45,55,0.002359,0.1421,11.03,37022.39,40450.14,154.68
"284",1969-12-31 19:00:00,3303.59,257.48,58.37,18.63,240.07,255.5,54.89,0.002313,0.1385,10.65,35243.4,13719.24,52.82
"285",1969-12-31 19:00:00,3342.17,262.08,59.12,18.87,243.14,256.98,54.89,0.002306,0.1399,7.16,24134.81,110063.38,417.24
"286",1969-12-31 19:00:00,3356.56,265.86,59.51,19.01,243.85,258.22,55.14,0.002316,0.1411,9.38,31859.07,64343.5,243.2
"287",1969-12-31 19:00:00,3336.31,264.32,59.45,18.97,243.92,254.79,54.93,0.002335,0.1395,5.39,18450.48,15578.31,59.3
"288",1969-12-31 19:00:00,3347.17,266.25,58.31,19.06,244.08,254.28,54.89,0.00231,0.1398,16.49,54811.25,54252.79,206.33
"289",1969-12-31 19:00:00,3373.43,264.21,58.56,19.15,245.08,254.83,54.9,0.002361,0.1403,27.32,91867.81,215095.2,816.16
"290",1969-12-31 19:00:00,3320.83,257.33,57.25,18.78,241.36,250.56,54.3,0.002325,0.1368,20.16,67773.61,111163.59,426.55
"291",1969-12-31 19:00:00,3342.47,262.25,57.99,18.91,242.73,253.49,54,0.002306,0.1349,16.32,54741.85,8293.82,31.56
"292",1969-12-31 19:00:00,3339.8,259.49,57.85,18.8,240.8,250.99,54,0.002271,0.1353,19.67,65255.75,31744.83,122.42
